DataCompra;NomeCliente;CpfCliente;ItemComprado;ValorCompra
01/01/2023;Anderson;46540001111;Bolsa;R$ 200,00
02/01/2023;Amanda;46545551111;Bone;R$ 350,00
03/01/2023;Yasmin;47540001111;Calca;R$ 900,00
04/01/2023;Koda;46540001133;Relogio;R$ 100,00
05/01/2023;Mauro;46540008411;Blusa;R$ 200,00
06/01/2023;Patricio;46548501111;Tenis;R$ 600,00
07/01/2023;Jude;46546201111;Touca;R$ 100,00
08/01/2023;Leandra;2540001111;Meia;R$ 2.000,00
09/01/2023;Caio;340001111;Moletom;R$ 100,00
10/01/2023;Thiago;46545621111;Conjunto;R$ 200,00
11/01/2023;Vanessa;63540001111;Tenis;R$ 500,00
12/01/2023;Julio;46540001199;Bolsa;R$ 9.000,00
